Ann_long_1	Ann_long_2	Ann_long_3	Ann_long_4	Ann_long_5	Ann_long_6	Ann_long_7	Ann_long_8	Ann_long_9	Ann_long_10
110009T1	1	0.61503885941648	0.547652184575145	0.219325116532003	0.147208670303319	0.0731994077564384	0.0688911587727221	0.0344504276481999	0.0154205874547893	0.00962442163486796
110010T1	1	0.737322702770103	0.613232503588144	0.254545398331209	0.108640687794108	0.0426989632095984	0.0233663469434639	0.024371499603353	0.00319272807470446	0.00250409071229858
1100011T1	0.874554014889668	1	0.902786953990771	0.634628354392141	0.384921655687838	0.276376887470963	0.214438356005396	0.0920484535791479	0.027501252394529	0.00613659874896299
130001D1	1	0.867134422325808	0.705320645431171	0.342611637087403	0.188551466553892	0.10182049064016	0.0863713956538662	0.0611163195697829	0.0218619544510547	0.00868333210932998
130002D1	1	0.869862571748398	0.83153186934065	0.419781976450942	0.258092122486288	0.146412448952932	0.104719858090738	0.0933574473188417	0.0168973034761509	0.00640733290921228
130003D1	1	0.711631911664074	0.509207367681633	0.172465717570287	0.0793116339355463	0.0328186764390498	0.021507956548981	0.0233238964849951	0.00788948000521682	0.0068005230390922
130004D1	1	0.829141475088037	0.706860834755832	0.344375299735141	0.19780185126475	0.112064180167502	0.093879658372895	0.0948294591161439	0.0363116486099805	0.0169839690066799
130005D1	1	0.688243180505042	0.567206225795074	0.158082802177443	0.100047167862573	0.0418400222463521	0.0379018946464885	0.0338484078468047	0.0162230534176962	0.00860236838773062
120012B1	1	0.877949424647947	0.699902250824801	0.349913262114159	0.205544519065559	0.096880092943077	0.0561527681647174	0.0554964902693433	0.0173291583650256	0.00877351871473554
120017B1	1	0.962962470496948	0.730576360849387	0.482222172305911	0.236000479228406	0.156022408938239	0.11859217016645	0.0837108823871838	0.0294737434122464	0.016884365982277
220026B1	1	0.741101470423841	0.553001820413239	0.318569979359769	0.155707441843902	0.0659146627014744	0.0497869690948792	0.0334324289570605	0.0101079625245993	0.00732538184599365
