Ann_short_1	Ann_short_2	Ann_short_3	Ann_short_4	Ann_short_5	Ann_short_6	Ann_short_7	Ann_short_8	Ann_short_9	Ann_short_10
130005D1	0.529531429555015	0.732140864112445	0.844387483920975	0.985111727300449	0.930127113167091	1	0.826974193030522	0.792686457288772	0.782503765046376	0.634427555078867
120001B1	0.71080283360016	0.874945696187773	0.959206131982696	1	0.94946916128755	0.938236394614788	0.805671526411902	0.822330587797232	0.782382462940868	0.774780924062874
120003B1	0.645352735139073	0.815279342089299	0.921271474523984	1	0.920973063225113	0.894158777553755	0.841845094495923	0.727601311934813	0.743396632442352	0.616243335144294
120004B1	0.72883266051288	0.87791579734365	0.952139527807549	0.982079474504301	1	0.860974499761178	0.681275894665724	0.762730167355343	0.527742177867735	0.425662770133063
120005B1	0.673327144716095	0.836206117213042	0.952769326477032	1	0.940951078222923	0.846575526747025	0.720102305537024	0.831570975186263	0.744580075714914	0.730855918288946
120006B1	0.678675439658224	0.783682433368069	0.927104463409313	1	0.954878674834687	0.907299683965106	0.797545772239875	0.900534827478735	0.891554210892472	0.986220143902815
120007B1	0.65767299985127	0.864302524108169	0.938635161381752	1	0.870872946608471	0.888434119260442	0.66149500067796	0.769370171021857	0.649112967861349	0.564145603860653
120008B1	0.701836042046841	0.820932356980986	0.932806801427819	1	0.90815084072123	0.841258258362727	0.709515281574167	0.623107555662429	0.523220125591267	0.399035779819791
120009B1	0.597822423446482	0.84914878901244	0.907091339986253	1	0.951314693262791	0.928329188414002	0.680148944952259	0.782094312951518	0.582239747757357	0.479235114944883
120012B1	0.547247804093974	0.805181895568515	0.917126740620775	1	0.889607970405236	0.913741267050099	0.746115396080802	0.693973217290984	0.757419375293998	0.699372644824236
120017B1	0.592018215173479	0.64104376838708	0.775330794946916	1	0.841177844048701	0.785962742132728	0.811546275800359	0.889899835250814	0.86452003783059	0.948769274111656
120018B1	0.678656186415259	0.774695578390605	0.860574692161688	1	0.812933746272588	0.861069259104226	0.811620046698848	0.678518389814827	0.804943445868142	0.646692942810859
120019B1	0.831774821716346	0.850322989886852	0.860941377801271	1	0.779081981582262	0.767819736749913	0.782054415579335	0.656551383708517	0.631525999135782	0.608518396322182
120020B1	0.65330731534287	0.784661356038791	0.864865034481175	1	0.907472879678963	0.902445774058749	0.761724588682911	0.710491555316733	0.679073235455951	0.647037073977469
220022B1	0.793566186113928	0.880425571335237	0.953280792881397	1	0.882157518456727	0.826206370081342	0.62539474055641	0.673489320246442	0.327743243757866	0.235073922056865
220024B1	0.657200338153742	0.782790993867006	0.802067824040494	1	0.989309213190892	0.863145595037034	0.706445330612174	0.636000801314811	0.720757431640453	0.784480533069255
220025B1	0.578284294089907	0.849362698959239	0.944820821377509	1	0.892247388105954	0.933830049244871	0.699095647459766	0.711422746149278	0.687828911555397	0.562181553324739
220026B1	0.655314890841194	0.751792420294909	0.803587392831584	1	0.790033134730233	0.784859117314291	0.62114027036349	0.705554734571827	0.585909536608132	0.472962080106607
220027B1	0.662841148167023	0.798661411030936	0.812311386782752	1	0.80462665997018	0.721032315699116	0.654702731003032	0.598347088524839	0.423000501181979	0.368935620781042
220028B1	0.698280857911044	0.852921269779337	0.937150194409697	1	0.899387511367174	0.891664774708046	0.688258785541519	0.62301330166862	0.483862863359549	0.373850883517902
220029B1	0.719159615949628	0.867962633223317	0.906549250634537	1	0.796709816723352	0.811716680373056	0.640126836090745	0.669986881371228	0.51283064373419	0.407695168035897
220030B1	0.68579497084439	0.685133176255244	0.855339046491222	1	0.911963266065493	0.735331923538655	0.657536262842465	0.722942839485917	0.61282397905861	0.474792437432251
220031B1	0.560721523338354	0.723693885228996	0.770641784527135	1	0.925900219983227	0.875009150313828	0.781702571402815	0.80165600507593	0.760883344716333	0.674631604617662
320038B1	0.515044477563561	0.731900262830755	0.841883549376239	0.916332220704867	0.94196204659711	1	0.776611922207023	0.783654139732762	0.763680366077759	0.663699794670937
320039B1	0.612858237205608	0.796161912521281	0.893590138219524	0.93070939639085	0.959081379822372	1	0.718011387472264	0.76790845917355	0.656286275623446	0.562856006279793
320040B1	0.610794067376428	0.858113761849194	0.958924953028931	0.955324783373997	0.993967159697868	1	0.669126363884418	0.704061214332895	0.448974876219839	0.329589445331358
320041B1	0.563675723744797	0.789256398316537	0.866828278394556	0.884073247554495	0.941098733568388	1	0.704803093563029	0.725726626268646	0.664597282937317	0.534568132520552
