id	Ann_long_1	Ann_long_2	Ann_long_3	Ann_long_4	Ann_long_5	Ann_long_6	Ann_long_7	Ann_long_8	Ann_long_9	Ann_long_10
120003B1	27.518408357286	27.1427608379359	26.5714532554558	25.6627850482725	24.4067684185741	23.5356270651865	22.9393615529241	22.10894742692	20.4076887740169	19.5956540157513
120007B1	28.7918796242437	28.2952179373746	27.9109389964949	26.8370805385893	25.8643641070936	24.6399662316373	23.9805144505288	23.8040320337491	21.663829056199	21.4653276484594
120008B1	27.0939598980811	26.5471373006964	26.0579551570732	25.1876754236364	24.1716857885766	23.1134027817284	22.1617496455489	22.1915021428843	19.8620654732262	19.4725156151593
120012B1	27.7047077760439	27.4395393350887	27.1251991534347	26.1208124404389	25.1716224680187	23.995601607236	23.2544167481415	23.084010351803	21.3451159879382	20.2253579182219
120017B1	25.9031121232749	25.6199623195886	25.1086697226898	24.3359122886169	23.1604265102824	22.4332703668123	21.6827730141209	21.2914923444438	19.704530652496	19.1167232266891
120018B1	27.8667336189279	27.5269026437017	27.1319097363103	26.1328850491303	24.8168797466046	23.9330476301239	23.5331758322497	22.6569681823095	21.0431001284823	20.4834999807474
120019B1	26.7549358093704	26.2470374804753	25.6295049599024	24.5751056327414	23.7344074105885	22.9429437254168	22.3369353774002	21.779677384178	19.9591143997994	19.8678169534185
120020B1	28.1176828088658	27.8287969766622	27.2260226035331	26.3283155016419	25.3816139697874	24.1136784487195	23.4636090355544	23.0146043668297	20.9194814273361	20.5824518359808
220022B1	29.2187037554109	28.6421933856703	28.2794195199947	27.1641414856516	26.0106407243199	24.7946004470574	24.0306416865133	23.818188651073	20.7283380591313	20.0114249211468
220024B1	26.1936634146944	25.8024501652645	25.3860201850665	24.4116670970243	23.6131415325439	22.6465158452862	21.7911149922862	21.2181369773374	19.911323874937	19.1167232266891
220025B1	26.1936634146944	25.630130150012	24.9199284004676	24.2832468239088	23.3208638124024	22.0861196757487	21.7105748305492	20.9303039937058	19.8620654732262	19.1167232266891
220026B1	26.773918912738	26.0903910775808	25.7670724155977	24.920647427008	23.9059532890674	22.6645386667886	22.141004919653	21.779677384178	19.7587730085467	19.4072647856902
220027B1	27.063425529933	26.4730850195764	26.0511518722198	25.2601952422575	24.0915165669263	23.1663390216654	22.5434284590832	21.9991802083956	20.2587741892832	19.6538842250658
