Ann_long_1	Ann_long_2	Ann_long_3	Ann_long_4	Ann_long_5	Ann_long_6	Ann_long_7	Ann_long_8	Ann_long_9	Ann_long_10
320002D1	29.7182466032148	29.0948190690851	28.714774835419	27.0848186689067	26.3745187681198	25.1398191555004	24.8633200223602	24.8220532462999	23.4151021789128	23.0056715276114
320003D1	29.7593082181311	29.1260040379262	28.7073552891772	27.031076530563	26.3030729467143	25.0673345970842	24.9271513861214	24.809431536608	23.1904339566474	23.2968396066024
320004D1	29.4098326009059	28.6133910417543	28.2325002718458	26.6514627600986	25.9503967324021	24.9014019114212	24.3252588726812	24.3823907811295	22.8303444563177	22.8270125110252
320005D1	30.111166700174	29.4748223261044	28.8913755625475	27.4407655653823	26.4889282088864	25.2675515858616	24.7179577636052	24.5062140340887	22.8835907997814	22.3540526099633
320006D1	30.0637469502397	29.5367838206872	29.0756148344864	27.5591159081845	26.545333748524	25.1522598321883	24.722439804059	24.2474587374293	21.9968700621052	21.8802196494324
320007D1	29.5494951261229	28.9488586678843	28.497357096296	26.9679142953746	25.8694460872773	24.5709398955431	23.9722200810196	23.8412834048602	22.4295038007817	21.9135546698406
320008D1	29.4712120755622	28.8689200816504	28.3409865901256	26.8411341516285	25.9016434854848	24.4316533334527	23.957410784254	23.5974721980576	22.1315071817289	21.4327568756673
820117B1	33.745825571059	33.4396325451712	32.9948938786322	31.8616596990524	30.8394825356665	29.6817304476826	28.6543132188287	28.4119701446082	26.4817557111993	25.9889443964066
930001D1	35.8243425989776	35.8922993183302	35.7913582484591	35.129791803915	34.8134737731696	34.3203196716433	33.8762150449942	34.049836280923	32.8381803712366	31.7146449476735
930002D1	36.1953833359941	36.2928097790966	36.200404663294	35.5893288068137	35.2222254564328	34.7382477771255	34.3155871211904	34.4609805983592	33.5878372650045	32.7200236251463
930003D1	34.2016631018964	34.076300804631	33.8028768577335	32.9546633674032	32.0444579874201	31.1642409356386	30.449241599809	30.1850961112716	26.8820216551742	25.96525159162
930004D1	34.1692453582299	34.0393781907658	33.7740646639471	32.9098597028846	31.9990634345687	31.0768748312262	30.2995601771488	30.1003639093255	26.6705802112627	25.6931786150233
930005D1	31.9683431796122	31.4358939275757	31.2638346498137	30.6849350740868	30.1134887366667	29.6768790370705	29.7335204243455	29.4158182464436	28.7624437153653	27.8144136738106
